Curvature(1/m),Moment(N·m/m)
0.0,0.0
0.00010050251256281407,206030.15075376883
0.00020100502512562814,412060.30150753766
0.00030150753768844223,618090.4522613066
0.0004020100502512563,824120.6030150753
0.0005025125628140704,1030150.7537688443
0.0006030150753768845,1236180.9045226132
0.0007035175879396985,1442211.055276382
0.0008040201005025126,1648241.2060301506
0.0009045226130653266,1854271.3567839197
0.0010050251256281408,2060301.5075376886
0.0011055276381909548,2266331.658291457
0.001206030150753769,2472361.8090452263
0.0013065326633165829,2678391.959798995
0.001407035175879397,2884422.110552764
0.001507537688442211,3090452.2613065327
0.0016080402010050252,3296482.4120603013
0.0017085427135678393,3502512.562814071
0.0018090452261306533,3708542.7135678395
0.0019095477386934674,3914572.8643216086
0.0020100502512562816,4120603.015075377
0.0021105527638190956,4326633.165829146
0.0022110552763819095,4532663.316582914
0.0023115577889447235,4738693.4673366835
0.002412060301507538,4944723.618090453
0.002512562814070352,5150753.768844222
0.0026130653266331657,5356783.91959799
0.00271356783919598,5562814.070351759
0.002814070351758794,5768844.221105528
0.002914572864321608,5974874.371859296
0.003015075376884422,6180904.522613065
0.0031155778894472364,6386934.673366835
0.0032160804020100503,6592964.824120603
0.0033165829145728643,6798994.974874372
0.0034170854271356787,7005025.125628142
0.0035175879396984926,7211055.27638191
0.0036180904522613066,7417085.427135679
0.0037185929648241205,7623115.577889447
0.003819095477386935,7829145.728643217
0.003919597989949748,8035175.879396984
0.004020100502512563,8140000.0
0.004120603015075377,8140000.0
0.004221105527638191,8140000.0
0.004321608040201005,8140000.0
0.004422110552763819,8140000.0
0.004522613065326633,8140000.0
0.004623115577889447,8140000.0
0.004723618090452262,8140000.0
0.004824120603015076,8140000.0
0.00492462311557789,8140000.0
0.005025125628140704,8140000.0
0.0051256281407035175,8140000.0
0.0052261306532663315,8140000.0
0.0053266331658291454,8140000.0
0.00542713567839196,8140000.0
0.005527638190954774,8140000.0
0.005628140703517588,8140000.0
0.005728643216080402,8140000.0
0.005829145728643216,8140000.0
0.00592964824120603,8140000.0
0.006030150753768844,8140000.0
0.006130653266331659,8140000.0
0.006231155778894473,8140000.0
0.006331658291457287,8140000.0
0.006432160804020101,8140000.0
0.006532663316582915,8140000.0
0.0066331658291457285,8140000.0
0.0067336683417085425,8140000.0
0.006834170854271357,8140000.0
0.006934673366834171,8140000.0
0.007035175879396985,8140000.0
0.007135678391959799,8140000.0
0.007236180904522613,8140000.0
0.007336683417085427,8140000.0
0.007437185929648241,8140000.0
0.007537688442211056,8140000.0
0.00763819095477387,8140000.0
0.007738693467336684,8140000.0
0.007839195979899497,8140000.0
0.007939698492462312,8140000.0
0.008040201005025126,8140000.0
0.00814070351758794,8140000.0
0.008241206030150754,8140000.0
0.008341708542713568,8140000.0
0.008442211055276382,8140000.0
0.008542713567839196,8140000.0
0.00864321608040201,8140000.0
0.008743718592964824,8140000.0
0.008844221105527638,8140000.0
0.008944723618090452,8140000.0
0.009045226130653266,8140000.0
0.00914572864321608,8140000.0
0.009246231155778894,8140000.0
0.00934673366834171,8140000.0
0.009447236180904523,8140000.0
0.009547738693467337,8140000.0
0.009648241206030151,8140000.0
0.009748743718592965,8140000.0
0.00984924623115578,8140000.0
0.009949748743718593,8140000.0
0.010050251256281407,8140000.0
0.010150753768844221,8140000.0
0.010251256281407035,8140000.0
0.010351758793969849,8140000.0
0.010452261306532663,8140000.0
0.010552763819095477,8140000.0
0.010653266331658291,8140000.0
0.010753768844221107,8140000.0
0.01085427135678392,8140000.0
0.010954773869346734,8140000.0
0.011055276381909548,8140000.0
0.011155778894472362,8140000.0
0.011256281407035176,8140000.0
